date,open,high,low,close,volume,quote_volume
2016/1/1,430.89,436,427.2,433.82,3788.111174,1643358.39
2016/1/2,434.87,435.99,430.42,433.55,2972.063449,1288538.108
2016/1/3,433.2,434.09,424.06,431.04,4571.097038,1970325.667
2016/1/4,431.54,435.86,428.44,434.17,5717.595458,2482408.42
2016/1/5,433.31,435.39,429.5,432.43,3881.720862,1678572.552
2016/1/6,432.45,432.67,426.54,429.56,5507.614226,2365850.767
2016/1/7,429.99,459.16,429.25,457,16833.41916,7692872.555
2016/1/8,456.87,465,444.51,452.7,10258.99459,4644246.849
2016/1/9,452.02,454,446.68,448.84,4396.045001,1973120.838
2016/1/10,448.84,449.89,440.8,448.79,4078.610654,1830439.675
2016/1/11,448.2,451.13,438,448,7986.458431,3577933.377
2016/1/12,448,448,434.35,434.85,6930.896549,3013900.364
2016/1/13,434.78,438.35,424.5,432.64,10067.02105,4355395.985
2016/1/14,432.64,434,427,429.55,4420.91216,1899002.818
2016/1/15,429.55,429.8,360,360,37326.70141,13437612.51
2016/1/16,360.62,392.07,352,386.91,25019.25199,9680198.789
2016/1/17,387.8,391.14,376,380.16,8416.943635,3199785.292
2016/1/18,379.94,388.5,373.63,385.49,7015.529936,2704416.635
2016/1/19,385.47,386.92,375.59,376.76,7223.003242,2721338.702
2016/1/20,376.9,422.98,372.53,416.32,25172.91742,10479988.98
2016/1/21,418.9,421.25,404.59,409.59,9414.557072,3856108.431
2016/1/22,409.42,410.07,374.45,382.55,14744.75776,5640607.082
2016/1/23,382.85,395,381.05,386.4,7664.890928,2961713.855
2016/1/24,386.37,405.97,385.36,402.16,5448.845213,2191307.591
2016/1/25,402.16,402.31,385.5,390.9,8040.830856,3143160.782
2016/1/26,390.1,397.7,386.2,391.77,6589.15355,2581432.686
2016/1/27,391.77,397,390.31,394.95,4262.629337,1683525.457
2016/1/28,394.62,395.56,376,379.75,11414.0455,4334483.778
2016/1/29,379.55,383.99,363.73,378.22,13544.14542,5122666.681
2016/1/30,378.12,380.42,372.95,375.64,2587.107173,971820.9386
2016/1/31,376.38,379.3,364.7,368.49,4166.66582,1535374.688
2016/2/1,368.49,378.2,366.53,371.81,7255.134218,2697531.453
2016/2/2,371.79,375,369.73,373.05,5719.113324,2133515.225
2016/2/3,373.05,374,365,368.38,7107.786608,2618366.431
2016/2/4,368.4,391.88,367.95,387.82,13446.47968,5214813.751
2016/2/5,388,389.5,382.99,385,7372.613956,2838456.373
2016/2/6,384.97,384.98,371.35,375.39,5735.697066,2153123.321
2016/2/7,375.39,380,373.04,375,2885.482418,1082055.907
2016/2/8,375,378.99,369.99,370.91,6943.108167,2575268.25
2016/2/9,370.95,377,369.12,373.2,5779.680101,2156976.614
2016/2/10,373.69,383.85,372.12,379.66,10006.63329,3799118.396
2016/2/11,379.34,380.5,373.54,377.98,7471.96039,2824251.588
2016/2/12,377.98,383.48,377.07,383.27,5996.092361,2298122.319
2016/2/13,383,390.99,382,390.99,7324.966341,2863988.59
2016/2/14,390.99,406.71,390.59,405,9758.392711,3952149.048
2016/2/15,405.5,409.71,393.4,399.28,7906.697736,3156986.272
2016/2/16,399.5,407.8,396,407.51,8354.830321,3404676.904
2016/2/17,407.51,421.11,404,415.54,11842.77783,4921147.899
2016/2/18,415.59,424.9,413.4,421.18,8588.926689,3617484.143
2016/2/19,421.15,422,414,419.54,5015.538102,2104218.855
2016/2/20,419.98,443.96,419.5,434.63,11633.27274,5056169.332
2016/2/21,434.63,447.99,426,438.5,10300.3526,4516704.617
2016/2/22,438.33,439.5,431.15,438.27,5840.316055,2559635.317
2016/2/23,438.26,440,414,419.1,10509.60508,4404575.488
2016/2/24,419.1,424.28,409.07,423.78,7258.357303,3075946.658
2016/2/25,423.79,426.75,415.79,423.51,5597.967199,2370795.089
2016/2/26,423.38,432,418.01,432,4635.120227,2002371.938
2016/2/27,432,435,428.22,431.07,4159.35798,1792974.445
2016/2/28,431.07,435,422.29,431.68,3501.189413,1511393.446
2016/2/29,430.26,440.99,428.12,435.23,8463.348832,3683503.312
2016/3/1,436.75,437.5,427.01,432.5,6941.516214,3002205.763
2016/3/2,433.33,434.5,421.31,423.45,5788.383632,2451091.049
2016/3/3,422.4,424.47,415.85,420.29,7483.646756,3145301.895
2016/3/4,420.29,423.9,406.02,408.01,7789.003709,3177991.403
2016/3/5,408.18,408.98,382,399.83,16436.40386,6571767.356
2016/3/6,399.77,412.31,393.11,406.23,5692.009309,2312264.941
2016/3/7,406.15,414.96,403.03,414.01,5937.733796,2458281.169
2016/3/8,413.96,414.99,408.46,411.75,5576.258204,2296024.315
2016/3/9,412.14,413.51,408.75,413,4876.78893,2014113.828
2016/3/10,412.99,416.9,409.31,416,5255.299453,2186204.572
2016/3/11,416,421.91,415.11,419.13,5950.807049,2494161.758
2016/3/12,419.14,420.93,406.59,410.9,4640.49425,1906779.087
2016/3/13,409.95,417,409.67,413.04,3286.869109,1357608.417
2016/3/14,412.99,415.22,410.5,414.99,4470.787435,1855332.078
2016/3/15,414.83,417.43,412.15,415.85,4569.879946,1900384.576
2016/3/16,415.84,416.82,413.15,416.57,4100.477064,1708135.73
2016/3/17,416.52,419,415.66,418.49,3704.160673,1550154.2
2016/3/18,418.47,418.49,403.34,407.91,6391.246595,2607053.399
2016/3/19,407.5,409.95,404.1,409.04,2870.24736,1174045.98
2016/3/20,408.36,412,406.6,411.28,2579.002128,1060691.995
2016/3/21,410.62,411.96,406.5,411.67,3546.278911,1459896.639
2016/3/22,411.15,416.99,410.35,416.64,3950.155195,1645792.66
2016/3/23,416.39,419,413.44,417.62,4946.396511,2065714.111
2016/3/24,417.62,418.15,412.85,415.17,2776.608832,1152764.689
2016/3/25,415.17,416.92,412,415.7,2588.782723,1076156.978
2016/3/26,415.6,416.99,414,416.96,1253.006376,522453.5384
2016/3/27,416.96,427.99,415.77,424.77,5038.877533,2140364.01
2016/3/28,424.62,424.77,420.32,422.87,3283.791465,1388616.897
2016/3/29,422.87,424.37,407.22,415.95,5955.00099,2476982.662
2016/3/30,415.43,415.93,408.59,413.74,4824.854552,1996235.322
2016/3/31,413.68,416.99,411.4,414.66,3774.420828,1565101.34
2016/4/1,414.66,416.99,413.42,416.31,3736.772662,1555655.827
2016/4/2,416.31,420,416.01,419,2072.950501,868566.2599
2016/4/3,419.35,419.48,416.1,419.11,1337.673033,560632.1448
2016/4/4,418.51,419.85,416,418.75,3457.562743,1447854.399
2016/4/5,418.81,423,416.61,422.71,3956.556598,1672476.039
2016/4/6,422.71,422.9,420,421.03,2396.348371,1008934.555
2016/4/7,420.62,421.99,418.09,420,3216.81132,1351060.754
2016/4/8,419.99,423.99,416.26,417.75,4584.130993,1915020.722
